time,offered_load_mbps,accepted_load_mbps,capacity_sum_mbps,goodput_sum_mbps,served_step_mb,queue_sum,blocked_rate,blocked_queue_cap_rate,blocked_timeout_rate,acceptance_rate,service_rate,mean_served_delay_s,p95_served_delay_s,mean_timeout_delay_s,utilization,fairness
0.0,985.2728375960774,985.2728375960774,63.63913357737239,63.63913357737239,7.954891697171549,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.375,0.9990842682356886
1.0,427.5400784963447,427.5400784963447,154.19410468642087,130.60503704994773,16.325629631243466,5,0.0,0.0,0.0,1.0,0.2857142857142857,1.5,2.0,0.0,0.875,0.9812727920117834
2.0,196.81736487989247,196.81736487989247,172.47061297947067,157.0258651094111,19.628233138676386,6,0.0,0.0,0.0,1.0,0.3333333333333333,1.3333333333333333,2.0,0.0,0.875,0.986046841920104
3.0,147.79218329786883,147.79218329786883,187.37027701322467,187.37027701322464,23.42128462665308,8,0.0,0.0,0.0,1.0,0.2727272727272727,1.3333333333333333,2.0,0.0,1.0,0.9828873282218067
4.0,884.306934770799,884.306934770799,185.25233785977588,181.66352808189095,22.707941010236368,10,0.0,0.0,0.0,1.0,0.2857142857142857,2.0,4.0,0.0,1.0,0.9684300996130026
5.0,448.39038473876155,448.39038473876155,182.341214176765,182.34121417676502,22.792651772095628,14,0.0,0.0,0.0,1.0,0.2222222222222222,2.0,4.0,0.0,1.0,0.9561728312036842
6.0,701.6286738213363,701.6286738213363,175.75613730266207,166.1295547701561,20.76619434626951,16,0.0,0.0,0.0,1.0,0.2727272727272727,3.0,6.0,0.0,1.0,0.9812975945774236
7.0,710.8425153320469,710.8425153320469,167.0300138793,167.0300138793,20.8787517349125,22,0.0,0.0,0.0,1.0,0.21428571428571427,3.0,6.0,0.0,1.0,0.9523856806045056
8.0,869.4675788486204,869.4675788486204,159.79124908858049,159.7912490885805,19.973906136072564,24,0.0,0.0,0.0,1.0,0.25,3.25,6.0,0.0,1.0,0.9774324552925975
9.0,185.69489617041882,185.69489617041882,159.96133020674228,159.74346042824953,19.967932553531192,25,0.0,0.0,0.0,1.0,0.2857142857142857,3.4,6.0,0.0,1.0,0.9780513772352695
10.0,53.904312871669106,53.904312871669106,161.41478245956517,161.41478245956517,20.176847807445647,25,0.0,0.0,0.0,1.0,0.3055555555555556,3.727272727272727,7.0,0.0,1.0,0.9829782195056459
11.0,870.2095579962149,870.2095579962149,161.51763060958672,146.11562535716376,18.26445316964547,29,0.0,0.0,0.0,1.0,0.30952380952380953,4.0,7.0,0.0,1.0,0.9831841901584707
12.0,452.8922060091581,452.8922060091581,165.86974860521852,165.86974860521852,20.733718575652315,31,0.0,0.0,0.0,1.0,0.3111111111111111,4.5,7.0,0.0,1.0,0.9409486199614973
13.0,614.2247645139907,614.2247645139907,165.9861577274319,165.98615772743187,20.748269715928984,31,0.0,0.0,0.0,1.0,0.3404255319148936,4.875,8.0,0.0,1.0,0.9415522632902108
14.0,714.2009490710163,714.2009490710163,161.7776943212795,161.7776943212795,20.22221179015994,36,0.0,0.0,0.0,1.0,0.3076923076923077,4.875,8.0,0.0,1.0,0.983594468367071
15.0,1555.894218611145,1555.894218611145,160.5811858481775,160.21964555267533,20.027455694084416,44,0.0,0.0,0.0,1.0,0.2786885245901639,4.9411764705882355,8.0,0.0,1.0,0.9587507991670108
16.0,321.91434636565054,321.91434636565054,165.20701813755517,162.4929875605316,20.31162344506645,45,0.0,0.0,0.0,1.0,0.2857142857142857,5.277777777777778,11.0,0.0,1.0,0.9870595797545585
17.0,213.8227332294451,213.8227332294451,169.64411747138658,169.64411747138658,21.205514683923322,47,0.0,0.0,0.0,1.0,0.27692307692307694,5.277777777777778,11.0,0.0,1.0,0.9481372896652669
18.0,745.6082550709197,745.6082550709197,169.6684359755598,169.6684359755598,21.208554496944974,49,0.0,0.0,0.0,1.0,0.2898550724637681,5.85,11.0,0.0,1.0,0.9461089602153332
