time,offered_load_mbps,accepted_load_mbps,capacity_sum_mbps,goodput_sum_mbps,served_step_mb,queue_sum,blocked_rate,blocked_queue_cap_rate,blocked_timeout_rate,acceptance_rate,service_rate,mean_served_delay_s,p95_served_delay_s,mean_timeout_delay_s,utilization,fairness
0.0,985.2728375960774,985.2728375960774,63.63913357737239,63.63913357737239,7.954891697171549,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.375,0.9990842682356886
1.0,427.5400784963447,427.5400784963447,154.19410468642087,130.60503704994773,16.325629631243466,5,0.0,0.0,0.0,1.0,0.2857142857142857,1.5,2.0,0.0,0.875,0.9812727920117834
2.0,196.81736487989247,196.81736487989247,172.47061297947067,157.0258651094111,19.628233138676386,6,0.0,0.0,0.0,1.0,0.3333333333333333,1.3333333333333333,2.0,0.0,0.875,0.986046841920104
3.0,147.79218329786883,147.79218329786883,187.37027701322467,187.37027701322464,23.42128462665308,8,0.0,0.0,0.0,1.0,0.2727272727272727,1.3333333333333333,2.0,0.0,1.0,0.9828873282218067
4.0,884.306934770799,884.306934770799,196.61538376115155,196.61538376115158,24.576922970143947,11,0.0,0.0,0.0,1.0,0.21428571428571427,1.3333333333333333,2.0,0.0,1.0,0.9755536558837892
5.0,448.39038473876155,448.39038473876155,189.19496821073224,189.19496821073224,23.64937102634153,14,0.0,0.0,0.0,1.0,0.2222222222222222,2.25,5.0,0.0,1.0,0.9848768485312097
6.0,701.6286738213363,701.6286738213363,191.1787035720884,191.17870357208844,23.897337946511055,16,0.0,0.0,0.0,1.0,0.2727272727272727,2.8333333333333335,5.0,0.0,1.0,0.972366123071812
7.0,710.8425153320469,710.8425153320469,189.54697243670165,173.82417583267699,21.728021979084623,19,0.0,0.0,0.0,1.0,0.32142857142857145,2.7777777777777777,5.0,0.0,1.0,0.9943317629250398
8.0,869.4675788486204,869.4675788486204,190.68550893765652,163.8701058248113,20.483763228101413,20,0.0,0.0,0.0,1.0,0.375,2.9166666666666665,5.0,0.0,1.0,0.991412188303219
9.0,185.69489617041882,185.69489617041882,195.0912400946485,195.0912400946485,24.386405011831062,22,0.0,0.0,0.0,1.0,0.37142857142857144,3.0,5.0,0.0,1.0,0.9956003035879002
10.0,53.904312871669106,53.904312871669106,191.63070965313477,170.1802572920913,21.272532161511414,20,0.05555555555555555,0.0,0.05555555555555555,1.0,0.3888888888888889,3.0714285714285716,5.0,10.0,1.0,0.9889129586363422
11.0,870.2095579962149,680.2063465652463,191.74777923998505,191.74777923998502,23.968472404998128,23,0.11904761904761904,0.023809523809523808,0.09523809523809523,0.9761904761904762,0.3333333333333333,3.0714285714285716,5.0,10.0,1.0,0.9888888462369637
12.0,452.8922060091581,409.8344634508413,197.0770623576835,197.0770623576835,24.634632794710438,22,0.13333333333333333,0.044444444444444446,0.08888888888888889,0.9555555555555556,0.37777777777777777,3.588235294117647,7.0,10.0,1.0,0.9968033339935853
13.0,614.2247645139907,614.2247645139907,196.95788405515958,196.9578840551596,24.61973550689495,24,0.1276595744680851,0.0425531914893617,0.0851063829787234,0.9574468085106383,0.3617021276595745,3.588235294117647,7.0,10.0,1.0,0.996425765477502
14.0,714.2009490710163,714.2009490710163,193.15325616673874,193.15325616673874,24.144157020842343,25,0.15384615384615385,0.038461538461538464,0.11538461538461539,0.9615384615384616,0.36538461538461536,4.105263157894737,8.0,10.0,1.0,0.9877111458710959
15.0,1555.894218611145,1525.5838192140307,196.37175661420744,196.37175661420744,24.54646957677593,32,0.16393442622950818,0.04918032786885246,0.11475409836065574,0.9508196721311475,0.3114754098360656,4.105263157894737,8.0,10.0,1.0,0.9904535477318063
16.0,321.91434636565054,321.91434636565054,197.1709669493194,197.1709669493194,24.646370868664924,31,0.20634920634920634,0.047619047619047616,0.15873015873015872,0.9523809523809523,0.30158730158730157,4.105263157894737,8.0,10.0,1.0,0.9917617278108791
