scenario,strategy,seed,samples,avg_offered_load_mbps,avg_accepted_load_mbps,avg_capacity_mbps,avg_goodput_mbps,avg_queue,final_capacity_mbps,final_goodput_mbps,final_queue,final_blocked_rate,final_blocked_queue_cap_rate,final_blocked_timeout_rate,final_utilization,final_fairness,avg_utilization,avg_fairness,avg_acceptance_rate,avg_service_rate,final_mean_served_delay_s,final_p95_served_delay_s,final_mean_timeout_delay_s
baseline,round_robin,44,600,39.39442576493566,39.39442576493566,49.87887443767093,39.39442576493566,1.2466666666666666,84.75554733463866,48.384177638965426,0,0.0,0.0,0.0,0.375,0.9714807661034095,0.23541666666666666,0.8745664846805844,1.0,0.9882377154505637,2.481188118811881,6.0,0.0
baseline,round_robin,45,600,36.176089856061935,36.176089856061935,45.808425513798305,36.15015950031472,1.105,26.674257877442603,26.674257877442603,1,0.0,0.0,0.0,0.125,1.0,0.21791666666666668,0.8351401451804836,1.0,0.9834036903928325,2.432900432900433,6.0,0.0
baseline,round_robin,46,600,40.43983309375151,40.43983309375151,50.72855342684514,40.40795274742151,1.2333333333333334,24.44751140943256,24.44751140943256,1,0.0,0.0,0.0,0.125,1.0,0.23895833333333333,0.8393977519323659,0.9983333333333333,0.9832185099820282,2.5205761316872426,7.0,0.0
baseline,round_robin,47,600,46.523040333042054,46.523040333042054,57.07972585363025,46.35657259541171,1.5183333333333333,56.30412746248362,56.30412746248362,4,0.0,0.0,0.0,0.25,0.9893073079483027,0.27166666666666667,0.8735035498110608,1.0,0.9832899502295279,2.72936660268714,7.0,0.0
baseline,round_robin,48,600,44.677184733329916,44.677184733329916,55.11522729033754,44.48448450076851,1.465,97.98353645181895,88.56738369981218,3,0.0,0.0,0.0,0.5,0.9926191857734552,0.265,0.8876445788298457,0.9966666666666667,0.9801584327115205,2.6711281070745696,7.0,0.0
baseline,round_robin,49,600,40.195607575037386,40.195607575037386,50.97161583966136,40.195607575037386,1.2766666666666666,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.24416666666666667,0.8695570116970069,1.0,0.9847911763112325,2.560081466395112,6.0,0.0
baseline,round_robin,50,600,39.13661619741322,39.13661619741322,49.72369636340997,39.13661619741322,1.2666666666666666,24.44751140943256,8.0,0,0.0,0.0,0.0,0.125,1.0,0.236875,0.8527836115764367,1.0,0.9830323201828445,2.4960629921259843,7.0,0.0
baseline,round_robin,51,600,39.66233794715092,39.66233794715092,50.96020144313839,39.524268973004176,1.2283333333333333,74.62002585921431,74.62002585921432,3,0.0,0.0,0.0,0.375,0.991886218465517,0.24208333333333334,0.8712887893323502,1.0,0.9892491722132989,2.42578125,6.0,0.0
baseline,longest_queue_first,42,600,43.47403861164897,43.47403861164897,54.69890032818828,43.315678785749384,1.4333333333333333,50.27393622349042,47.74807421413253,1,0.0,0.0,0.0,0.25,0.9992482704672878,0.26104166666666667,0.8782335880648363,1.0,0.9811810640192743,2.6615087040618954,7.0,0.0
baseline,longest_queue_first,43,600,39.802748316274226,39.802748316274226,50.40428708675618,39.52870570456016,1.215,128.9988360621301,125.775324807103,4,0.0,0.0,0.0,0.625,0.9926063815050383,0.241875,0.8588129181751941,0.9983333333333333,0.9877695078002244,2.413255360623782,6.0,0.0
baseline,longest_queue_first,44,600,39.39442576493566,39.39442576493566,49.87887443767093,39.39442576493566,1.2466666666666666,84.75554733463866,48.384177638965426,0,0.0,0.0,0.0,0.375,0.9714807661034095,0.23541666666666666,0.8745664846805844,1.0,0.9882377154505637,2.481188118811881,6.0,0.0
baseline,longest_queue_first,45,600,36.176089856061935,36.176089856061935,45.808425513798305,36.15015950031472,1.105,26.674257877442603,26.674257877442603,1,0.0,0.0,0.0,0.125,1.0,0.21791666666666668,0.8351401451804836,1.0,0.9834036903928325,2.432900432900433,6.0,0.0
